Round,Age,Stage,Number_Oocyte,TUNEL_Cell,Ovary,Ovariole,Image_Code,Replicate,Vial
N1,2D,Germarium,0,,1,3,7_01_Overlay.ome.tif,3,7
N1,2D,S1-7,14,,2,4,7_02_Overlay.ome.tif,4,7
N1,2D,S8-10,4,,2,4,7_02_Overlay.ome.tif,4,7
N1,2D,S11,2,,2,4,7_02_Overlay.ome.tif,4,7
N1,2D,S12-14,7,1,2,4,7_02_Overlay.ome.tif,4,7
N1,2D,Germarium,0,,2,4,7_02_Overlay.ome.tif,4,7
N1,2D,S1-7,48,,1,14,8_Overlay.ome.tif,5,8
N1,2D,S8-10,7,,1,14,8_Overlay.ome.tif,5,8
N1,2D,S11,7,,1,14,8_Overlay.ome.tif,5,8
N1,2D,S12-14,10,5,1,14,8_Overlay.ome.tif,5,8
N1,2D,Germarium,0,,1,14,8_Overlay.ome.tif,5,8
N1,2D,S1-7,8,,1,2,17_01_Overlay.ome.tif,6,17
N1,2D,S8-10,2,,1,2,17_01_Overlay.ome.tif,6,17
N1,2D,S11,1,,1,2,17_01_Overlay.ome.tif,6,17
N1,2D,S12-14,2,,1,2,17_01_Overlay.ome.tif,6,17
N1,2D,Germarium,0,,1,2,17_01_Overlay.ome.tif,6,17
N1,2D,S1-7,41,2,2,10,17_02_01_Overlay.ome.tif,7,17
N1,2D,S8-10,9,,2,10,17_02_01_Overlay.ome.tif,7,17
N1,2D,S11,4,,2,10,17_02_01_Overlay.ome.tif,7,17
N1,2D,S12-14,9,,2,10,17_02_01_Overlay.ome.tif,7,17
N1,2D,Germarium,0,,2,10,17_02_01_Overlay.ome.tif,7,17
N1,2D,S1-7,39,,3,12,17_04_Overlay.ome.tif,8,17
N1,2D,S8-10,7,,3,12,17_04_Overlay.ome.tif,8,17
N1,2D,S11,4,,3,12,17_04_Overlay.ome.tif,8,17
N1,2D,S12-14,7,,3,12,17_04_Overlay.ome.tif,8,17
N1,2D,Germarium,0,,3,12,17_04_Overlay.ome.tif,8,17
N1,2D,S1-7,9,,3,2,17_Overlay.ome.tif,9,17
N1,2D,S8-10,2,,3,2,17_Overlay.ome.tif,9,17
N1,2D,S11,1,,3,2,17_Overlay.ome.tif,9,17
N1,2D,S12-14,2,,3,2,17_Overlay.ome.tif,9,17
N1,2D,Germarium,0,,3,2,17_Overlay.ome.tif,9,17
N1,2D,S1-7,27,,1,6,20_Overlay.ome.tif,10,20
N1,2D,S8-10,7,,1,6,20_Overlay.ome.tif,10,20
N1,2D,S11,3,,1,6,20_Overlay.ome.tif,10,20
N1,2D,S12-14,5,,1,6,20_Overlay.ome.tif,10,20
N1,2D,Germarium,0,,1,6,20_Overlay.ome.tif,10,20
N1,2D,S1-7,28,,1,5,26_03_Overlay.ome.tif,11,26
N1,2D,S8-10,1,,1,5,26_03_Overlay.ome.tif,11,26
N1,2D,S11,4,,1,5,26_03_Overlay.ome.tif,11,26
N1,2D,S12-14,1,,1,5,26_03_Overlay.ome.tif,11,26
N1,2D,Germarium,0,,1,5,26_03_Overlay.ome.tif,11,26
N1,2D,S1-7,45,,1,14,37_01_Overlay.ome.tif,12,37
N1,2D,S8-10,8,,1,14,37_01_Overlay.ome.tif,12,37
N1,2D,S11,10,,1,14,37_01_Overlay.ome.tif,12,37
N1,2D,S12-14,8,3,1,14,37_01_Overlay.ome.tif,12,37
N1,2D,Germarium,0,,1,14,37_01_Overlay.ome.tif,12,37
N1,2D,S1-7,40,,2,11,37_02_Overlay.ome.tif,13,37
N1,2D,S8-10,9,,2,11,37_02_Overlay.ome.tif,13,37
N1,2D,S11,9,,2,11,37_02_Overlay.ome.tif,13,37
